Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2021-04-12,131.24,168.9695,255.91,15.209,4128.0,233.9933
2021-04-13,134.43,170.0,258.49,15.6795,4141.6,254.1066
2021-04-14,132.03,166.65,255.59,15.277,4124.7,244.0766
2021-04-15,134.5,168.9545,259.5,16.1373,4170.4,246.2833
2021-04-16,134.16,169.972,260.74,15.9125,4185.5,246.5933
2021-04-19,134.84,168.6005,258.74,15.3618,4163.3,238.21
2021-04-20,133.11,166.7345,258.26,15.1713,4134.9,239.6633
2021-04-21,133.5,168.101,260.58,15.3605,4173.4,248.04
2021-04-22,131.94,165.452,257.17,14.8503,4135.0,239.8966
2021-04-23,134.32,167.044,261.15,15.2653,4180.2,243.1333
2021-04-26,134.72,170.45,261.55,15.478,4187.6,246.0666
2021-04-27,134.39,170.8715,261.97,15.3818,4186.7,234.9133
2021-04-28,133.58,172.925,254.56,15.2768,4183.2,231.4666
2021-04-29,133.48,173.5655,252.51,15.3248,4211.5,225.6666
2021-04-30,131.46,173.371,252.18,15.0095,4181.2,236.48
2021-05-03,132.54,169.3245,251.86,14.8368,4192.7,228.3
2021-05-04,127.85,165.5935,247.79,14.3513,4164.7,224.5333
2021-05-05,128.1,163.527,246.47,14.4585,4167.6,223.6466
2021-05-06,129.74,165.3185,249.73,14.523,4201.6,221.18
2021-05-07,130.21,164.5805,252.46,14.8123,4232.6,224.1233
2021-05-10,126.85,159.5245,247.18,14.2658,4188.4,209.68
2021-05-11,125.91,161.1955,246.23,14.3063,4152.1,205.7333
2021-05-12,122.77,157.597,239.0,13.7585,4063.0,196.63
2021-05-13,124.97,158.0735,243.03,13.6653,4112.5,190.5633
2021-05-14,127.45,161.145,248.15,14.243,4173.9,196.58
2021-05-17,126.27,163.5195,245.18,14.1655,4163.3,192.2766
2021-05-18,124.85,161.614,243.08,14.0158,4127.8,192.6233
2021-05-19,124.69,161.59,243.12,14.0658,4115.7,187.82
